,municipality,impact_type,state,rate,value
94,Paranaque,Casualties,Slight Injuries,normalized,6778.37
95,Pasay,Casualties,Slight Injuries,normalized,395332.39
96,Pasig,Casualties,Slight Injuries,normalized,37020.27
97,Pateros,Casualties,Slight Injuries,normalized,15391.05
98,Quezon,Casualties,Slight Injuries,normalized,88620.92
99,San Juan,Casualties,Slight Injuries,normalized,16564.76
100,Taguig,Casualties,Slight Injuries,normalized,32709.19
101,Valenzuela,Casualties,Slight Injuries,normalized,11597.55
102,Caloocan,Casualties,Serious Injuries,normalized,88303.99
103,Las Pinas,Casualties,Serious Injuries,normalized,690714.69
104,Makati,Casualties,Serious Injuries,normalized,4367.86
105,Malabon,Casualties,Serious Injuries,normalized,11652.19
106,Mandaluyong,Casualties,Serious Injuries,normalized,5170.63
107,Manila,Casualties,Serious Injuries,normalized,10507.52
108,Marikina,Casualties,Serious Injuries,normalized,3865.69
109,Muntinlupa,Casualties,Serious Injuries,normalized,1187.04
110,Navotas,Casualties,Serious Injuries,normalized,6549.53
111,Paranaque,Casualties,Serious Injuries,normalized,1980.05
112,Pasay,Casualties,Serious Injuries,normalized,104264.89
113,Pasig,Casualties,Serious Injuries,normalized,11460.46
114,Pateros,Casualties,Serious Injuries,normalized,4690.89
115,Quezon,Casualties,Serious Injuries,normalized,25748.54
116,San Juan,Casualties,Serious Injuries,normalized,4813.98
117,Taguig,Casualties,Serious Injuries,normalized,9708.47
118,Valenzuela,Casualties,Serious Injuries,normalized,3361.36
119,Caloocan,Casualties,Life - threatening Injuries,normalized,12644.96
120,Las Pinas,Casualties,Life - threatening Injuries,normalized,105456.69
121,Makati,Casualties,Life - threatening Injuries,normalized,526.19
122,Malabon,Casualties,Life - threatening Injuries,normalized,1585.68
123,Mandaluyong,Casualties,Life - threatening Injuries,normalized,692.91
124,Manila,Casualties,Life - threatening Injuries,normalized,1462.13
125,Marikina,Casualties,Life - threatening Injuries,normalized,476.36
126,Muntinlupa,Casualties,Life - threatening Injuries,normalized,136.96
127,Navotas,Casualties,Life - threatening Injuries,normalized,864.04
128,Paranaque,Casualties,Life - threatening Injuries,normalized,202.94
129,Pasay,Casualties,Life - threatening Injuries,normalized,17965.51
130,Pasig,Casualties,Life - threatening Injuries,normalized,1645.82
131,Pateros,Casualties,Life - threatening Injuries,normalized,679.24
132,Quezon,Casualties,Life - threatening Injuries,normalized,2997.37
133,San Juan,Casualties,Life - threatening Injuries,normalized,491.42
134,Taguig,Casualties,Life - threatening Injuries,normalized,1225.5
135,Valenzuela,Casualties,Life - threatening Injuries,normalized,395.46
136,Caloocan,Casualties,Fatalities,normalized,26830.97
137,Las Pinas,Casualties,Fatalities,normalized,205446.39
138,Makati,Casualties,Fatalities,normalized,1161.0
139,Malabon,Casualties,Fatalities,normalized,3617.75
140,Mandaluyong,Casualties,Fatalities,normalized,1438.95
141,Manila,Casualties,Fatalities,normalized,3096.78
142,Marikina,Casualties,Fatalities,normalized,1154.65
143,Muntinlupa,Casualties,Fatalities,normalized,301.83
144,Navotas,Casualties,Fatalities,normalized,1810.73
145,Paranaque,Casualties,Fatalities,normalized,515.06
146,Pasay,Casualties,Fatalities,normalized,32835.88
147,Pasig,Casualties,Fatalities,normalized,3428.12
148,Pateros,Casualties,Fatalities,normalized,1368.03
149,Quezon,Casualties,Fatalities,normalized,7327.68
150,San Juan,Casualties,Fatalities,normalized,1359.23
151,Taguig,Casualties,Fatalities,normalized,2681.28
152,Valenzuela,Casualties,Fatalities,normalized,920.7
153,Caloocan,Economic Loss,Financial,normalized,1174491.09
154,Las Pinas,Economic Loss,Financial,normalized,8141569.65
155,Makati,Economic Loss,Financial,normalized,49820.16
156,Malabon,Economic Loss,Financial,normalized,267014.95
157,Mandaluyong,Economic Loss,Financial,normalized,62002.21
158,Manila,Economic Loss,Financial,normalized,170283.22
159,Marikina,Economic Loss,Financial,normalized,65143.79
160,Muntinlupa,Economic Loss,Financial,normalized,22627.17
161,Navotas,Economic Loss,Financial,normalized,45714.86
162,Paranaque,Economic Loss,Financial,normalized,49236.45
163,Pasay,Economic Loss,Financial,normalized,1578074.34
164,Pasig,Economic Loss,Financial,normalized,190826.5
165,Pateros,Economic Loss,Financial,normalized,43075.54
166,Quezon,Economic Loss,Financial,normalized,591784.76
167,San Juan,Economic Loss,Financial,normalized,132508.64
168,Taguig,Economic Loss,Financial,normalized,79327.67
169,Valenzuela,Economic Loss,Financial,normalized,68131.81
170,Caloocan,Building Damage,Slight Damage,total,3479806.0
171,Manila,Building Damage,Slight Damage,total,4010957.0
172,Las Pinas,Building Damage,Slight Damage,total,1898996.0
173,Makati,Building Damage,Slight Damage,total,2239323.0
174,Malabon,Building Damage,Slight Damage,total,1012122.0
