no_eq,p
0,0.00015652495842159462
1,0.0013715178733826618
2,0.006008822158385512
3,0.017550357615612334
4,0.03844535305551146
5,0.06737390560056028
6,0.09839167361611861
7,0.12316241111900568
8,0.134898173653911
9,0.13133528928600258
10,0.11507985593994831
11,0.09166942324873666
12,0.0669362113749314
13,0.04511652582585238
14,0.028237450882807935
15,0.016494991799847886
